name,cwe,description,basescore,attackvector,attackcomplexity,privsreq,userinteraction,scope,confidentialityreq,integrityreq,availreq,exploitscore,impactscore,aerospace,epssscore,epsspercentile
CVE-2012-1723,284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor Unspecified vulnerability in the Java Runtime Environment JRE component in Oracle Java SE 7 update 4 and earlier 6 update 32 and earlier 5 update 35 and earlier and 14237 and earlier allows remote attackers to affect confidentiality integrity and availability via unknown vectors related to Hotspot,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.964350000,0.997260000
CVE-2013-2729,190,The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value This occurs when an integer value is incremented to a value that is too large to store in the associated representation When this occurs the value may become a very small or negative number The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value This occurs when an integer value is incremented to a value that is too large to store in the associated representation When this occurs the value may become a very small or negative number Integer overflow in Adobe Reader and Acrobat 9x before 955 10x before 1017 and 11x before 11003 allows attackers to execute arbitrary code via unspecified vectors a different vulnerability than CVE20132727,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.735500000,0.983840000
CVE-2009-3129,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Microsoft Office Excel 2002 SP3 2003 SP3 and 2007 SP1 and SP2 Office 2004 and 2008 for Mac Open XML File Format Converter for Mac Office Excel Viewer 2003 SP3 Office Excel Viewer SP1 and SP2 and Office Compatibility Pack for Word Excel and PowerPoint 2007 File Formats SP1 and SP2 allows remote attackers to execute arbitrary code via a spreadsheet with a FEATHEADER record containing an invalid cbHdrData size element that affects a pointer offset aka Excel Featheader Record Memory Corruption Vulnerability,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.972800000,0.999360000
CVE-2012-4681,284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor Multiple vulnerabilities in the Java Runtime Environment JRE component in Oracle Java SE 7 Update 6 and earlier allow remote attackers to execute arbitrary code via a crafted applet that bypasses SecurityManager restrictions by 1 using comsunbeansfinderClassFinderfindClass and leveraging an exception with the forName method to access restricted classes from arbitrary packages such as sunawtSunToolkit then 2 using reflection with a trusted immediate caller to leverage the getField method to access and modify private fields as exploited in the wild in August 2012 using Gondzzclass and Gondvvclass,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.946340000,0.994560000
CVE-2015-3113,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Heapbased buffer overflow in Adobe Flash Player before 1300296 and 14x through 18x before 1800194 on Windows and OS X and before 112202468 on Linux allows remote attackers to execute arbitrary code via unspecified vectors as exploited in the wild in June 2015,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.424500000,0.974850000
CVE-2022-2462,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information The Transposh WordPress Translation plugin for WordPress is vulnerable to sensitive information disclosure to unauthenticated users in versions up to and including 1081 This is due to insufficient permissions checking on the tphistory AJAX action and insufficient restriction on the data returned in the response This makes it possible for unauthenticated users to exfiltrate usernames of individuals who have translated text,5.3,0,0,0,0,0,1,0,0,3.9,1.4,1,0.080100000,0.944480000
,77,The product constructs all or part of a command using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component The product constructs all or part of a command data structure or record using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component Zimbra Collaboration aka ZCS 8815 and 90 allows an unauthenticated attacker to inject arbitrary memcache commands into a targeted instance These memcache commands becomes unescaped causing an overwrite of arbitrary cached entries,7.5,0,0,0,0,0,0,2,0,3.9,3.6,1,0.058450000,0.934630000
CVE-2022-27925,22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory Zimbra Collaboration aka ZCS 8815 and 90 has mboximport functionality that receives a ZIP archive and extracts files from it An authenticated user with administrator rights has the ability to upload arbitrary files to the system leading to directory traversal,7.2,0,0,2,0,0,2,2,2,1.2,5.9,1,0.902170000,0.991090000
CVE-2022-37042,22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory Zimbra Collaboration Suite ZCS 8815 and 90 has mboximport functionality that receives a ZIP archive and extracts files from it By bypassing authentication ie not having an authtoken an attacker can upload arbitrary files to the system leading to directory traversal and remote code execution NOTE this issue exists because of an incomplete fix for CVE202227925,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.975130000,0.999940000
CVE-2022-30333,22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory RARLAB UnRAR before 612 on Linux and UNIX allows directory traversal to write to files during an extract aka unpack operation as demonstrated by creating a sshauthorizedkeys file NOTE WinRAR and Android RAR are unaffected,7.5,0,0,0,0,0,0,2,0,3.9,3.6,1,0.938280000,0.993730000
CVE-2017-0213,0,Windows COM Aggregate Marshaler in Microsoft Windows Server 2008 SP2 and R2 SP1 Windows 7 SP1 Windows 81 Windows Server 2012 Gold and R2 Windows RT 81 Windows 10 Gold 1511 1607 and 1703 and Windows Server 2016 allows an elevation privilege vulnerability when an attacker runs a specially crafted application aka Windows COM Elevation of Privilege Vulnerability This CVE ID is unique from CVE20170214,7.3,2,0,1,1,0,2,2,2,1.3,5.9,1,0.866540000,0.988990000
CVE-2014-0322,416,The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer Useafterfree vulnerability in Microsoft Internet Explorer 9 and 10 allows remote attackers to execute arbitrary code via vectors involving crafted JavaScript code CMarkup and the onpropertychange attribute of a script element as exploited in the wild in January and February 2014,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.972080000,0.999140000
CVE-2017-11292,843,The product allocates or initializes a resource such as a pointer object or variable using one type but it later accesses that resource using a type that is incompatible with the original type The product allocates or initializes a resource such as a pointer object or variable using one type but it later accesses that resource using a type that is incompatible with the original type Adobe Flash Player version 2700159 and earlier has a flawed bytecode verification procedure which allows for an untrusted value to be used in the calculation of an array index This can lead to type confusion and successful exploitation could lead to arbitrary code execution,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.306960000,0.970660000
CVE-2012-0158,94,The product constructs all or part of a code segment using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment The product constructs all or part of a code segment using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment The 1 ListView 2 ListView2 3 TreeView and 4 TreeView2 ActiveX controls in MSCOMCTLOCX in the Common Controls in Microsoft Office 2003 SP3 2007 SP2 and SP3 and 2010 Gold and SP1 Office 2003 Web Components SP3 SQL Server 2000 SP4 2005 SP4 and 2008 SP2 SP3 and R2 BizTalk Server 2002 SP1 Commerce Server 2002 SP4 2007 SP2 and 2009 Gold and R2 Visual FoxPro 80 SP1 and 90 SP2 and Visual Basic 60 Runtime allow remote attackers to execute arbitrary code via a crafted a web site b Office document or c rtf file that triggers system state corruption as exploited in the wild in April 2012 aka MSCOMCTLOCX RCE Vulnerability,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.972780000,0.999360000
CVE-2015-8651,190,The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value This occurs when an integer value is incremented to a value that is too large to store in the associated representation When this occurs the value may become a very small or negative number The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value This occurs when an integer value is incremented to a value that is too large to store in the associated representation When this occurs the value may become a very small or negative number Integer overflow in Adobe Flash Player before 1800324 and 19x and 20x before 2000267 on Windows and OS X and before 112202559 on Linux Adobe AIR before 2000233 Adobe AIR SDK before 2000233 and Adobe AIR SDK Compiler before 2000233 allows attackers to execute arbitrary code via unspecified vectors,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.631110000,0.980670000
CVE-2016-0034,0,Microsoft Silverlight 5 before 51412120 mishandles negative offsets during decoding which allows remote attackers to execute arbitrary code or cause a denial of service objectheader corruption via a crafted web site aka Silverlight Runtime Remote Code Execution Vulnerability,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.540260000,0.978410000
CVE-2016-1019,0,Adobe Flash Player 2100197 and earlier allows remote attackers to cause a denial of service application crash or possibly execute arbitrary code via unspecified vectors as exploited in the wild in April 2016,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.951180000,0.995150000
CVE-2016-4117,0,Adobe Flash Player 2100226 and earlier allows remote attackers to execute arbitrary code via unspecified vectors as exploited in the wild in May 2016,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.973020000,0.999430000
CVE-2014-0322,416,The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer Useafterfree vulnerability in Microsoft Internet Explorer 9 and 10 allows remote attackers to execute arbitrary code via vectors involving crafted JavaScript code CMarkup and the onpropertychange attribute of a script element as exploited in the wild in January and February 2014,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.972080000,0.999140000
CVE-2012-4792,416,The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer Useafterfree vulnerability in Microsoft Internet Explorer 6 through 8 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to an object that 1 was not properly allocated or 2 is deleted as demonstrated by a CDwnBindInfo object and exploited in the wild in December 2012,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.934630000,0.993400000
CVE-2012-1889,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Microsoft XML Core Services 30 40 50 and 60 accesses uninitialized memory locations which allows remote attackers to execute arbitrary code or cause a denial of service memory corruption via a crafted web site,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.953650000,0.995440000
CVE-2014-6324,0,The Kerberos Key Distribution Center KDC in MicroCVE-2022-27924soft Windows Server 2003 SP2 Windows Vista SP2 Windows Server 2008 SP2 and R2 SP1 Windows 7 SP1 Windows 8 Windows 81 and Windows Server 2012 Gold and R2 allows remote authenticated domain users to obtain domain administrator privileges via a forged signature in a ticket as exploited in the wild in November 2014 aka Kerberos Checksum Vulnerability,8.8,0,0,1,0,0,2,2,2,2.8,5.9,1,0.964140000,0.997220000
CVE-2017-0213,0,Windows COM Aggregate Marshaler in Microsoft Windows Server 2008 SP2 and R2 SP1 Windows 7 SP1 Windows 81 Windows Server 2012 Gold and R2 Windows RT 81 Windows 10 Gold 1511 1607 and 1703 and Windows Server 2016 allows an elevation privilege vulnerability when an attacker runs a specially crafted application aka Windows COM Elevation of Privilege Vulnerability This CVE ID is unique from CVE20170214,7.3,2,0,1,1,0,2,2,2,1.3,5.9,1,0.866540000,0.988990000
CVE-2019-0604,20,The product receives input or data but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly The product receives input or data but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly A remote code execution vulnerability exists in Microsoft SharePoint when the software fails to check the source markup of an application package aka Microsoft SharePoint Remote Code Execution Vulnerability This CVE ID is unique from CVE20190594,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.964000000,0.997180000
CVE-2021-26855,918,The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL but it does not sufficiently ensure that the request is being sent to the expected destination The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL but it does not sufficiently ensure that the request is being sent to the expected destination Microsoft Exchange Server Remote Code Execution Vulnerability,9.1,0,0,0,0,0,2,2,0,3.9,5.2,1,0.975080000,0.999920000
CVE-2021-26857,502,The product deserializes untrusted data without sufficiently ensuring that the resulting data will be valid The product deserializes untrusted data without sufficiently ensuring that the resulting data will be valid Microsoft Exchange Server Remote Code Execution Vulnerability,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.554440000,0.978710000
CVE-2021-26858,0,Microsoft Exchange Server Remote Code Execution Vulnerability,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.155650000,0.959960000
CVE-2021-27065,22,The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory Microsoft Exchange Server Remote Code Execution Vulnerability,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.947380000,0.994690000
CVE-2018-0798,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Equation Editor in Microsoft Office 2007 Microsoft Office 2010 Microsoft Office 2013 and Microsoft Office 2016 allows a remote code execution vulnerability due to the way objects are handled in memory aka Microsoft Office Memory Corruption Vulnerability,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.941340000,0.994020000
CVE-2009-3129,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Microsoft Office Excel 2002 SP3 2003 SP3 and 2007 SP1 and SP2 Office 2004 and 2008 for Mac Open XML File Format Converter for Mac Office Excel Viewer 2003 SP3 Office Excel Viewer SP1 and SP2 and Office Compatibility Pack for Word Excel and PowerPoint 2007 File Formats SP1 and SP2 allows remote attackers to execute arbitrary code via a spreadsheet with a FEATHEADER record containing an invalid cbHdrData size element that affects a pointer offset aka Excel Featheader Record Memory Corruption Vulnerability,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.972800000,0.999360000
CVE-2010-3333,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Stackbased buffer overflow in Microsoft Office XP SP3 Office 2003 SP3 Office 2007 SP2 Office 2010 Office 2004 and 2008 for Mac Office for Mac 2011 and Open XML File Format Converter for Mac allows remote attackers to execute arbitrary code via crafted RTF data aka RTF Stack Buffer Overflow Vulnerability,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.972450000,0.999250000
CVE-2011-3544,284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor Unspecified vulnerability in the Java Runtime Environment component in Oracle Java SE JDK and JRE 7 and 6 Update 27 and earlier allows remote untrusted Java Web Start applications and untrusted Java applets to affect confidentiality integrity and availability via unknown vectors related to Scripting,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.959380000,0.996290000
CVE-2012-0158,94,The product constructs all or part of a code segment using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment The product constructs all or part of a code segment using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment The 1 ListView 2 ListView2 3 TreeView and 4 TreeView2 ActiveX controls in MSCOMCTLOCX in the Common Controls in Microsoft Office 2003 SP3 2007 SP2 and SP3 and 2010 Gold and SP1 Office 2003 Web Components SP3 SQL Server 2000 SP4 2005 SP4 and 2008 SP2 SP3 and R2 BizTalk Server 2002 SP1 Commerce Server 2002 SP4 2007 SP2 and 2009 Gold and R2 Visual FoxPro 80 SP1 and 90 SP2 and Visual Basic 60 Runtime allow remote attackers to execute arbitrary code via a crafted a web site b Office document or c rtf file that triggers system state corruption as exploited in the wild in April 2012 aka MSCOMCTLOCX RCE Vulnerability,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.972780000,0.999360000
CVE-2012-1856,0,The TabStrip ActiveX control in the Common Controls in MSCOMCTLOCX in Microsoft Office 2003 SP3 Office 2003 Web Components SP3 Office 2007 SP2 and SP3 Office 2010 SP1 SQL Server 2000 SP4 SQL Server 2005 SP4 SQL Server 2008 SP2 SP3 R2 R2 SP1 and R2 SP2 Commerce Server 2002 SP4 Commerce Server 2007 SP2 Commerce Server 2009 Gold and R2 Host Integration Server 2004 SP1 Visual FoxPro 80 SP1 Visual FoxPro 90 SP2 and Visual Basic 60 Runtime allows remote attackers to execute arbitrary code via a crafted 1 document or 2 web page that triggers systemstate corruption aka MSCOMCTLOCX RCE Vulnerability,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.868800000,0.989140000
CVE-2014-1761,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Microsoft Word 2003 SP3 2007 SP3 2010 SP1 and SP2 2013 and 2013 RT Word Viewer Office Compatibility Pack SP3 Office for Mac 2011 Word Automation Services on SharePoint Server 2010 SP1 and SP2 and 2013 Office Web Apps 2010 SP1 and SP2 and Office Web Apps Server 2013 allow remote attackers to execute arbitrary code or cause a denial of service memory corruption via crafted RTF data as exploited in the wild in March 2014,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.524060000,0.977780000
CVE-2017-11882,119,The product performs operations on a memory buffer but it reads from or writes to a memory location outside the buffers intended boundary This may result in read or write operations on unexpected memory locations that could be linked to other variables data structures or internal program data The product performs operations on a memory buffer but it reads from or writes to a memory location outside the buffers intended boundary This may result in read or write operations on unexpected memory locations that could be linked to other variables data structures or internal program data Microsoft Office 2007 Service Pack 3 Microsoft Office 2010 Service Pack 2 Microsoft Office 2013 Service Pack 1 and Microsoft Office 2016 allow an attacker to run arbitrary code in the context of the current user by failing to properly handle objects in memory aka Microsoft Office Memory Corruption Vulnerability This CVE ID is unique from CVE201711884,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.974190000,0.999720000
CVE-2018-0802,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Equation Editor in Microsoft Office 2007 Microsoft Office 2010 Microsoft Office 2013 and Microsoft Office 2016 allow a remote code execution vulnerability due to the way objects are handled in memory aka Microsoft Office Memory Corruption Vulnerability This CVE is unique from CVE20180797 and CVE20180812,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.958040000,0.996080000
CVE-2015-8651,190,The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value This occurs when an integer value is incremented to a value that is too large to store in the associated representation When this occurs the value may become a very small or negative number The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value This occurs when an integer value is incremented to a value that is too large to store in the associated representation When this occurs the value may become a very small or negative number Integer overflow in Adobe Flash Player before 1800324 and 19x and 20x before 2000267 on Windows and OS X and before 112202559 on Linux Adobe AIR before 2000233 Adobe AIR SDK before 2000233 and Adobe AIR SDK Compiler before 2000233 allows attackers to execute arbitrary code via unspecified vectors,8.8,0,0,0,1,0,2,2,2,2.8,5.9,1,0.631110000,0.980670000
CVE-2016-1019,0,Adobe Flash Player 2100197 and earlier allows remote attackers to cause a denial of service application crash or possibly execute arbitrary code via unspecified vectors as exploited in the wild in April 2016,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.951180000,0.995150000
CVE-2009-3129,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Microsoft Office Excel 2002 SP3 2003 SP3 and 2007 SP1 and SP2 Office 2004 and 2008 for Mac Open XML File Format Converter for Mac Office Excel Viewer 2003 SP3 Office Excel Viewer SP1 and SP2 and Office Compatibility Pack for Word Excel and PowerPoint 2007 File Formats SP1 and SP2 allows remote attackers to execute arbitrary code via a spreadsheet with a FEATHEADER record containing an invalid cbHdrData size element that affects a pointer offset aka Excel Featheader Record Memory Corruption Vulnerability,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.972800000,0.999360000
CVE-2012-1723,284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor Unspecified vulnerability in the Java Runtime Environment JRE component in Oracle Java SE 7 update 4 and earlier 6 update 32 and earlier 5 update 35 and earlier and 14237 and earlier allows remote attackers to affect confidentiality integrity and availability via unknown vectors related to Hotspot,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.964350000,0.997260000
